Date : 2024-11-10 17:54:05
Directory : /home/galeano/dotfiles
Total : 385 files,  8754 codes, 10510 comments, 2905 blanks, all 22169 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/abspath-in-command-position5.zsh                   | Shell Script |          4 |         29 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-assignment1.zsh                              | Shell Script |          6 |         30 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-basic.zsh                                    | Shell Script |          5 |         28 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-brackets.zsh                                 | Shell Script |          6 |         32 |          4 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-command-substitution.zsh                     | Shell Script |          5 |         30 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-comment1.zsh                                 | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-comment2.zsh                                 | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-complex.zsh                                  | Shell Script |          7 |         28 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-empty.zsh                                    | Shell Script |          7 |         28 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-eponymous1.zsh                               | Shell Script |          5 |         28 |          4 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-eponymous2.zsh                               | Shell Script |          5 |         28 |          4 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-in-cmdsubst.zsh                              | Shell Script |         11 |         29 |          4 |         44 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-loop.zsh                                     | Shell Script |          9 |         32 |          4 |         45 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-loop2.zsh                                    | Shell Script |          5 |         28 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-nested-precommand.zsh                        | Shell Script |         11 |         29 |          4 |         44 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-nested.zsh                                   | Shell Script |          8 |         29 |          4 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-parameter.zsh                                | Shell Script |          6 |         29 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-precommand-option-argument1.zsh              | Shell Script |          9 |         30 |          4 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-precommand-option-argument2.zsh              | Shell Script |         10 |         29 |          4 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-precommand-option-argument3.zsh              | Shell Script |          9 |         30 |          4 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-precommand-option-argument4.zsh              | Shell Script |         10 |         29 |          4 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-quoted.zsh                                   | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-redirect.zsh                                 | Shell Script |          8 |         28 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-reuse1.zsh                                   | Shell Script |          7 |         29 |          4 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-reuse2.zsh                                   | Shell Script |          7 |         29 |          4 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-reuse3.zsh                                   | Shell Script |          7 |         29 |          4 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-reuse4.zsh                                   | Shell Script |         10 |         29 |          4 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-reuse5.zsh                                   | Shell Script |         11 |         29 |          4 |         44 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-self.zsh                                     | Shell Script |          6 |         29 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-self2.zsh                                    | Shell Script |          5 |         29 |          4 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-to-dir.zsh                                   | Shell Script |          5 |         29 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-to-dir1b.zsh                                 | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-unknown-token1.zsh                           | Shell Script |          5 |         29 |          4 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias-unknown-token2.zsh                           | Shell Script |          5 |         29 |          4 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/alias.zsh                                          | Shell Script |         16 |         34 |          4 |         54 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/always1.zsh                                        | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/always2.zsh                                        | Shell Script |         12 |         29 |          3 |         44 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/always3.zsh                                        | Shell Script |         12 |         29 |          3 |         44 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/anonymous-function.zsh                             | Shell Script |         14 |         28 |          3 |         45 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arg0-colon.zsh                                     | Shell Script |          4 |         29 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arith-cmdsubst-mess.zsh                            | Shell Script |         15 |         29 |          3 |         47 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arith1.zsh                                         | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arith2.zsh                                         | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-command-substitution.zsh                | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-doubled-parens.zsh                      | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-empty.zsh                               | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-evaluation.zsh                          | Shell Script |          5 |         33 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-hist-expn.zsh                           | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-invalid-chars.zsh                       | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-multiplication.zsh                      | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-nested.zsh                              | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-quoted.zsh                              | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-unclosed.zsh                            | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/arithmetic-unfinished.zsh                          | Shell Script |          9 |         29 |          4 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/array-cmdsep1.zsh                                  | Shell Script |         10 |         33 |          3 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/array-cmdsep2.zsh                                  | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/array-cmdsep3.zsh                                  | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-append.zsh                                  | Shell Script |          9 |         28 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-argv.zsh                                    | Shell Script |          8 |         28 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-array.zsh                                   | Shell Script |         11 |         28 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-array2.zsh                                  | Shell Script |         10 |         28 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-array3.zsh                                  | Shell Script |         11 |         28 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-invalid-command.zsh                         | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-not-array.zsh                               | Shell Script |          6 |         28 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-not-array2.zsh                              | Shell Script |          6 |         28 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-quoted-cmdsubst.zsh                         | Shell Script |         14 |         29 |          3 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-semicolon.zsh                               | Shell Script |          9 |         28 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-subshell.zsh                                | Shell Script |          7 |         28 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-value-quote1.zsh                            | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign-value-quote2.zsh                            | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assign.zsh                                         | Shell Script |         12 |         28 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-before-resword1.zsh                     | Shell Script |          9 |         29 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-before-resword2.zsh                     | Shell Script |          9 |         29 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-before-resword3.zsh                     | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-before-resword4.zsh                     | Shell Script |          9 |         29 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-before-resword5.zsh                     | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/assignment-quoted.zsh                              | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/back-quoted-argument.zsh                           | Shell Script |         28 |         28 |          3 |         59 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/back-quoted-open.zsh                               | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/backslash-continuation.zsh                         | Shell Script |          5 |         28 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/backslash-continuation2.zsh                        | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/backslash-space.zsh                                | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/backslash.zsh                                      | Shell Script |          4 |         28 |          3 |         35 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/bang-assign-array.zsh                              | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/bang-assign-scalar.zsh                             | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/bang-pipeline.zsh                                  | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/block-assignment-no-command.zsh                    | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/braces1.zsh                                        | Shell Script |          9 |         30 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/braces2.zsh                                        | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-matching1.zsh                             | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-matching2.zsh                             | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch1.zsh                             | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch10-if-negative.zsh                | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch2.zsh                             | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch3.zsh                             | Shell Script |          5 |         29 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch4.zsh                             | Shell Script |          5 |         29 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch5.zsh                             | Shell Script |          6 |         29 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch6.zsh                             | Shell Script |          9 |         29 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch7.zsh                             | Shell Script |         14 |         29 |          3 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch8-if-positive.zsh                 | Shell Script |         22 |         29 |          3 |         54 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch8.zsh                             | Shell Script |          7 |         29 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-mismatch9-if-positive.zsh                 | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/brackets-premature-termination.zsh                 | Shell Script |          9 |         29 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/cdpath-abspath.zsh                                 | Shell Script |          6 |         29 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/cmdpos-elision-partial.zsh                         | Shell Script |          9 |         32 |          4 |         45 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/command-substitution-adjacent.zsh                  | Shell Script |         14 |         29 |          3 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/command-substitution-in-assignment.zsh             | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/command-substitution-unclosed.zsh                  | Shell Script |         13 |         29 |          4 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/commandseparator.zsh                               | Shell Script |          8 |         28 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/comment-followed.zsh                               | Shell Script |          7 |         30 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/comment-leading.zsh                                | Shell Script |          5 |         28 |          4 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/comment-off.zsh                                    | Shell Script |          7 |         28 |          4 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/comments.zsh                                       | Shell Script |          8 |         28 |          4 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/commmand-parameter.zsh                             | Shell Script |         14 |         28 |          4 |         46 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/control-flow.zsh                                   | Shell Script |         27 |         28 |          3 |         58 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/control-flow2.zsh                                  | Shell Script |         10 |         28 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/control-flow3.zsh                                  | Shell Script |          9 |         28 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/cthulhu.zsh                                        | Shell Script |         37 |         31 |          3 |         71 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dinbrack1.zsh                                      | Shell Script |         10 |         29 |          3 |         42 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dirs_blacklist.zsh                                 | Shell Script |         10 |         28 |          3 |         41 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-dollar.zsh                                  | Shell Script |          8 |         29 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-noise.zsh                                   | Shell Script |         11 |         29 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-paren.zsh                                   | Shell Script |         18 |         29 |          3 |         50 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-quoted.zsh                                  | Shell Script |          8 |         28 |          3 |         39 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-quoted2.zsh                                 | Shell Script |          9 |         28 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/dollar-quoted3.zsh                                 | Shell Script |          7 |         30 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/double-hyphen-option.zsh                           | Shell Script |          5 |         28 |          3 |         36 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/double-quoted.zsh                                  | Shell Script |         12 |         28 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/double-quoted2.zsh                                 | Shell Script |          7 |         30 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/double-quoted3.zsh                                 | Shell Script |         12 |         28 |          3 |         43 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/double-quoted4.zsh                                 | Shell Script |          7 |         28 |          3 |         38 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/empty-command-newline.zsh                          | Shell Script |          7 |         30 |          3 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/empty-command.zsh                                  | Shell Script |          6 |         28 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/empty-command2.zsh                                 | Shell Script |          7 |         29 |          4 |         40 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/empty-line.zsh                                     | Shell Script |          5 |         29 |          3 |         37 |
| /home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/highlighters/main/test-data/equals1.zsh                                        | Shell Script |          5 |         29 |          3 |         37 |
